"UF";"Estado";"Indicador";"Ano";"Quadrimestre";"Equipe";"Numerador";"Denominador_Informado";"Denominador_Estimado";"Indicador_calculado";"Tempo";"REGIAO"
"PE";"PERNAMBUCO";3;2020;"Q2";"todas";"7769";"24430";"29569";"0.26";"2020Q2";"Nordeste"
"PI";"PIAUÍ";3;2020;"Q2";"todas";"3579";"10446";"13350";"0.27";"2020Q2";"Nordeste"
"PR";"PARANÁ";3;2020;"Q2";"todas";"8427";"24766";"33345";"0.25";"2020Q2";"Sul"
"RJ";"RIO DE JANEIRO";3;2020;"Q2";"todas";"5759";"21573";"42770";"0.13";"2020Q2";"Sudeste"
"RN";"RIO GRANDE DO NORTE";3;2020;"Q2";"todas";"2408";"8834";"10944";"0.22";"2020Q2";"Nordeste"
"RO";"RONDÔNIA";3;2020;"Q2";"todas";"497";"5858";"5875";"0.08";"2020Q2";"Norte"
"RR";"RORAIMA";3;2020;"Q2";"todas";"343";"2624";"2478";"0.13";"2020Q2";"Norte"
"RS";"RIO GRANDE DO SUL";3;2020;"Q2";"todas";"3983";"14972";"28590";"0.14";"2020Q2";"Sul"
"SC";"SANTA CATARINA";3;2020;"Q2";"todas";"4481";"15922";"24388";"0.18";"2020Q2";"Sul"
"SE";"SERGIPE";3;2020;"Q2";"todas";"1550";"6632";"8332";"0.19";"2020Q2";"Nordeste"
"SP";"SÃO PAULO";3;2020;"Q2";"todas";"16479";"59363";"90898";"0.18";"2020Q2";"Sudeste"
"TO";"TOCANTINS";3;2020;"Q2";"todas";"1527";"5256";"6542";"0.23";"2020Q2";"Norte"
"AC";"ACRE";3;2020;"Q3";"todas";"226";"2971";"3816";"0.06";"2020Q3";"Norte"
"AL";"ALAGOAS";3;2020;"Q3";"todas";"3322";"9239";"10926";"0.3";"2020Q3";"Nordeste"
"AM";"AMAZONAS";3;2020;"Q3";"todas";"4355";"15496";"14944";"0.28";"2020Q3";"Norte"
"AP";"AMAPÁ";3;2020;"Q3";"todas";"436";"2160";"2919";"0.15";"2020Q3";"Norte"
"BA";"BAHIA";3;2020;"Q3";"todas";"7532";"35235";"45894";"0.16";"2020Q3";"Nordeste"
"CE";"CEARÁ";3;2020;"Q3";"todas";"8818";"27969";"32897";"0.27";"2020Q3";"Nordeste"
"DF";"DISTRITO FEDERAL";3;2020;"Q3";"todas";"958";"7753";"8521";"0.11";"2020Q3";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";3;2020;"Q3";"todas";"1626";"6597";"12201";"0.13";"2020Q3";"Sudeste"
"GO";"GOIÁS";3;2020;"Q3";"todas";"2480";"13337";"20671";"0.12";"2020Q3";"Centro-Oeste"
"MA";"MARANHÃO";3;2020;"Q3";"todas";"3988";"22856";"28422";"0.14";"2020Q3";"Nordeste"
"MG";"MINAS GERAIS";3;2020;"Q3";"todas";"10529";"40299";"62424";"0.17";"2020Q3";"Sudeste"
"MS";"MATO GROSSO DO SUL";3;2020;"Q3";"todas";"2243";"6941";"10245";"0.22";"2020Q3";"Centro-Oeste"
"MT";"MATO GROSSO";3;2020;"Q3";"todas";"2081";"10293";"10992";"0.19";"2020Q3";"Centro-Oeste"
"PA";"PARÁ";3;2020;"Q3";"todas";"4339";"24660";"25002";"0.17";"2020Q3";"Norte"
"PB";"PARAÍBA";3;2020;"Q3";"todas";"4179";"12200";"15143";"0.28";"2020Q3";"Nordeste"
"PE";"PERNAMBUCO";3;2020;"Q3";"todas";"7491";"23763";"29663";"0.25";"2020Q3";"Nordeste"
"PI";"PIAUÍ";3;2020;"Q3";"todas";"3044";"10757";"13350";"0.23";"2020Q3";"Nordeste"
"PR";"PARANÁ";3;2020;"Q3";"todas";"7918";"27515";"33679";"0.24";"2020Q3";"Sul"
"RJ";"RIO DE JANEIRO";3;2020;"Q3";"todas";"8568";"25486";"42944";"0.2";"2020Q3";"Sudeste"
"RN";"RIO GRANDE DO NORTE";3;2020;"Q3";"todas";"1961";"8768";"10973";"0.18";"2020Q3";"Nordeste"
"RO";"RONDÔNIA";3;2020;"Q3";"todas";"500";"5518";"5875";"0.09";"2020Q3";"Norte"
"RR";"RORAIMA";3;2020;"Q3";"todas";"184";"2663";"2478";"0.07";"2020Q3";"Norte"
"RS";"RIO GRANDE DO SUL";3;2020;"Q3";"todas";"5193";"17748";"29183";"0.18";"2020Q3";"Sul"
"SC";"SANTA CATARINA";3;2020;"Q3";"todas";"4269";"17840";"24501";"0.17";"2020Q3";"Sul"
"SE";"SERGIPE";3;2020;"Q3";"todas";"1269";"6185";"8411";"0.15";"2020Q3";"Nordeste"
"SP";"SÃO PAULO";3;2020;"Q3";"todas";"16804";"70483";"92967";"0.18";"2020Q3";"Sudeste"
"TO";"TOCANTINS";3;2020;"Q3";"todas";"1613";"5339";"6555";"0.25";"2020Q3";"Norte"
"AC";"ACRE";4;2018;"Q1";"todas";"23353";"112766";"122797";"0.19";"2018Q1";"Norte"
"AL";"ALAGOAS";4;2018;"Q1";"todas";"64131";"465768";"561794";"0.11";"2018Q1";"Nordeste"
"AM";"AMAZONAS";4;2018;"Q1";"todas";"61392";"381740";"398604";"0.15";"2018Q1";"Norte"
"AP";"AMAPÁ";4;2018;"Q1";"todas";"579";"29600";"97196";"0.01";"2018Q1";"Norte"
"BA";"BAHIA";4;2018;"Q1";"todas";"221770";"1826566";"2753047";"0.08";"2018Q1";"Nordeste"
"CE";"CEARÁ";4;2018;"Q1";"todas";"210295";"1281487";"1779553";"0.12";"2018Q1";"Nordeste"
"DF";"DISTRITO FEDERAL";4;2018;"Q1";"todas";"3156";"70404";"326961";"0.01";"2018Q1";"Centro-Oeste"
